industry,industry_label,brand_name,domain,country,subcategory,description,source
fashion,Fashion,Community Clothing,communityclothing.co.uk,UK,heritage basics,Patrick Grant's social enterprise making affordable British-made staples.,researched
fashion,Fashion,Damson Madder,damsonmadder.com,UK,womenswear,London female-led label known for whimsical silhouettes and bold prints.,researched
fashion,Fashion,Finisterre,finisterre.com,UK,outdoor/outerwear,Cornwall-based cold-water surf and outdoor clothing brand with a sustainability focus.,researched
fashion,Fashion,HYPE,justhype.co.uk,UK,streetwear,British streetwear brand known for graphic prints and youth-focused collections.,researched
fashion,Fashion,Kestin,kestin.co,UK,menswear,Scottish menswear brand drawing on heritage workwear and contemporary menswear.,researched
fashion,Fashion,Kitri,kitristudio.com,UK,womenswear,"London-based womenswear label founded by Haeni Kim, famed for statement printed dresses.",researched
fashion,Fashion,Lazy Oaf,lazyoaf.com,UK,streetwear,"London independent streetwear label with playful, cartoon-inspired designs.",researched
fashion,Fashion,Lucy & Yak,lucyandyak.com,UK,sustainable casualwear,"Independent UK brand famous for colourful organic cotton dungarees, jumpsuits and casualwear.",researched
fashion,Fashion,ME+EM,meandem.com,UK,premium womenswear,British premium womenswear brand founded by Clare Hornby offering elevated everyday pieces.,researched
fashion,Fashion,Never Fully Dressed,neverfullydressed.com,UK,womenswear,London-based womenswear label known for bold prints and wrap dresses.,researched
fashion,Fashion,Nobody's Child,nobodyschild.com,UK,sustainable womenswear,London sustainable women's fashion label producing limited runs using upcycled fabrics.,researched
fashion,Fashion,Oh Polly,ohpolly.com,UK,womenswear,"Glasgow-based women's fashion brand specialising in figure-flattering dresses, tops and swimwear.",researched
fashion,Fashion,Oliver Bonas,oliverbonas.com,UK,lifestyle/fashion,"British lifestyle brand selling fashion, gifts and homewares.",researched
fashion,Fashion,Olivia Rubin,oliviarubinlondon.com,UK,womenswear,"London designer brand known for playful, colour-driven dresses.",researched
fashion,Fashion,Omnes,omnes.com,UK,sustainable womenswear,London sustainable womenswear label using recycled and deadstock materials.,researched
fashion,Fashion,Passenger Clothing,passenger-clothing.com,UK,outdoor/lifestyle,UK outdoor lifestyle brand selling travel-inspired clothing.,researched
fashion,Fashion,Pepper,wearpepper.com,US,intimates,Direct-to-consumer intimates brand tailored for women with smaller busts.,researched
fashion,Fashion,Percival,percivalclo.com,UK,menswear,British menswear label focused on modern takes on classic clothing.,researched
fashion,Fashion,Rapha,rapha.cc,UK,cycling apparel,London-based premium cycling clothing and accessories brand.,researched
fashion,Fashion,Rixo,rixo.co.uk,UK,womenswear,London womenswear label known for hand-painted prints and vintage-inspired dresses.,researched
fashion,Fashion,Saturdays NYC,saturdaysnyc.com,US,surf/casualwear,New York surf-inspired menswear and lifestyle brand.,researched
fashion,Fashion,Son of a Tailor,sonofatailor.com,EU,custom menswear,Copenhagen-based made-to-measure tee shirt and knitwear brand.,researched
fashion,Fashion,Sunspel,sunspel.com,UK,heritage menswear,"Heritage British clothing brand known for luxury cotton tees, underwear and polos.",researched
fashion,Fashion,Wax London,waxlondon.com,UK,menswear,London menswear brand known for its patchwork Whiting overshirt and British-made clothing.,researched
fashion,Fashion,YMC,youmustcreate.com,UK,contemporary clothing,London contemporary menswear and womenswear brand (You Must Create).,researched
beauty,Beauty & Wellness,Beauty Bakerie,beautybakerie.com,,,,verified
beauty,Beauty & Wellness,Blueland,blueland.com,,,,verified
beauty,Beauty & Wellness,Cocokind,cocokind.com,,,,verified
beauty,Beauty & Wellness,ColourPop,colourpop.com,,,,verified
beauty,Beauty & Wellness,Dr. Squatch,drsquatch.com,,,,verified
beauty,Beauty & Wellness,Fenty Beauty,fentybeauty.com,,,,verified
beauty,Beauty & Wellness,Function of Beauty,functionofbeauty.com,,,,verified
beauty,Beauty & Wellness,Geologie,geologie.com,,,,verified
beauty,Beauty & Wellness,Glossier,glossier.com,,,,verified
beauty,Beauty & Wellness,Glow Recipe,glowrecipe.com,,,,verified
beauty,Beauty & Wellness,Golde,golde.co,,,,verified
beauty,Beauty & Wellness,Grove Collaborative,grove.co,,,,verified
beauty,Beauty & Wellness,Harry's,harrys.com,,,,verified
beauty,Beauty & Wellness,Iconic London,iconiclondoninc.com,,,,verified
beauty,Beauty & Wellness,Jeffree Star Cosmetics,jeffreestarcosmetics.com,,,,verified
beauty,Beauty & Wellness,Josie Maran,josiemaran.com,,,,verified
beauty,Beauty & Wellness,Kopari,koparibeauty.com,,,,verified
beauty,Beauty & Wellness,Kylie Cosmetics,kyliecosmetics.com,,,,verified
beauty,Beauty & Wellness,Lumin,luminskin.com,,,,verified
beauty,Beauty & Wellness,Moon Juice,moonjuice.com,,,,verified
beauty,Beauty & Wellness,Native,nativecos.com,,,,verified
beauty,Beauty & Wellness,Oars + Alps,oarsandalps.com,,,,verified
beauty,Beauty & Wellness,Olaplex,olaplex.com,,,,verified
beauty,Beauty & Wellness,Olly,olly.com,,,,verified
beauty,Beauty & Wellness,Ouai,theouai.com,,,,verified
beauty,Beauty & Wellness,Pixi Beauty,pixibeauty.com,,,,verified
beauty,Beauty & Wellness,Pura,pura.com,,,,verified
beauty,Beauty & Wellness,Quip,getquip.com,,,,verified
beauty,Beauty & Wellness,Rare Beauty,rarebeauty.com,,,,verified
beauty,Beauty & Wellness,Ritual,ritual.com,,,,verified
beauty,Beauty & Wellness,Saje Natural Wellness,saje.com,,,,verified
beauty,Beauty & Wellness,Snow Teeth Whitening,trysnow.com,,,,verified
beauty,Beauty & Wellness,Stila Cosmetics,stilacosmetics.com,,,,verified
beauty,Beauty & Wellness,Summer Fridays,summerfridays.com,,,,verified
beauty,Beauty & Wellness,The Beauty Chef,thebeautychef.com,,,,verified
beauty,Beauty & Wellness,The Honey Pot,thehoneypot.co,,,,verified
beauty,Beauty & Wellness,Tropic Skincare,tropicskincare.com,,,,verified
beauty,Beauty & Wellness,Tru Earth,tru.earth,,,,verified
beauty,Beauty & Wellness,Vital Proteins,vitalproteins.com,,,,verified
beauty,Beauty & Wellness,Vitruvi,vitruvi.com,,,,verified
beauty,Beauty & Wellness,Bare Biology,barebiology.com,UK,supplements,British premium omega-3 fish oil supplements brand.,researched
beauty,Beauty & Wellness,Beauty Pie,beautypie.com,UK,cosmetics club,London beauty buyers' club offering luxury beauty products at cost to members.,researched
beauty,Beauty & Wellness,Bloom & Blossom,bloomandblossom.com,UK,wellness/skincare,British wellness and skincare brand known for bath and body products.,researched
beauty,Beauty & Wellness,Bouclème,boucleme.co.uk,UK,haircare,British haircare brand focused on products for curly hair.,researched
beauty,Beauty & Wellness,Byoma,byoma.com,UK,barrier skincare,UK-founded affordable barrier-health skincare brand.,researched
beauty,Beauty & Wellness,Charlotte Tilbury,charlottetilbury.com,UK,luxury makeup,British luxury makeup and skincare brand founded by Charlotte Tilbury.,researched
beauty,Beauty & Wellness,Dr. Sam's,drsambunting.com,UK,dermatologist skincare,London dermatologist-founded skincare brand by Dr Sam Bunting.,researched
beauty,Beauty & Wellness,Earl of East,earlofeast.com,UK,home fragrance,London candle and home fragrance brand.,researched
beauty,Beauty & Wellness,Elemis,elemis.com,UK,skincare,Luxury British anti-ageing skincare brand.,researched
beauty,Beauty & Wellness,Evolve Beauty,evolvebeauty.co.uk,UK,natural skincare,"Hertfordshire artisan natural, vegan, cruelty-free beauty brand.",researched
beauty,Beauty & Wellness,Facetheory,facetheory.com,UK,accessible skincare,Sheffield-based vegan cruelty-free skincare brand at accessible prices.,researched
beauty,Beauty & Wellness,Form Nutrition,formnutrition.com,UK,plant protein,London plant-based protein and supplements brand.,researched
beauty,Beauty & Wellness,Haeckels,haeckels.co.uk,UK,natural skincare,Margate-based natural skincare brand using locally foraged seaweed and botanicals.,researched
beauty,Beauty & Wellness,Huel,huel.com,UK,nutrition/supplements,UK nutritionally complete food and supplements brand.,researched
beauty,Beauty & Wellness,Illamasqua,illamasqua.com,UK,makeup,British cult makeup brand with bold and artistic colour palettes.,researched
beauty,Beauty & Wellness,Innermost,liveinnermost.com,UK,supplements,UK premium supplements and nutrition brand.,researched
beauty,Beauty & Wellness,Medik8,medik8.com,UK,pro skincare,British professional skincare brand built on vitamin C/A/SPF philosophy.,researched
beauty,Beauty & Wellness,Neom Organics,neomorganics.com,UK,wellbeing fragrance,Yorkshire-based wellbeing brand making natural candles and bath products.,researched
beauty,Beauty & Wellness,Noughty Haircare,lovenoughty.co.uk,UK,haircare,UK vegan haircare brand powered by up to 97% natural ingredients.,researched
beauty,Beauty & Wellness,Pai Skincare,paiskincare.com,UK,sensitive skincare,British organic skincare brand focused on sensitive skin.,researched
beauty,Beauty & Wellness,REN Clean Skincare,renskincare.com,UK,clean skincare,UK clean skincare brand made in Britain.,researched
beauty,Beauty & Wellness,Revolution Beauty,revolutionbeauty.com,UK,mass cosmetics,UK affordable cosmetics brand.,researched
beauty,Beauty & Wellness,Ruby Hammer,rubyhammer.com,UK,makeup tools,UK makeup brand from celebrity makeup artist Ruby Hammer.,researched
beauty,Beauty & Wellness,Skin + Me,skinandme.com,UK,personalised skincare,UK personalised prescription skincare brand using a quiz-first buying flow.,researched
beauty,Beauty & Wellness,Skin Rocks,skinrocks.com,UK,skincare,Caroline Hirons' London-based skincare brand.,researched
beauty,Beauty & Wellness,Trinny London,trinnylondon.com,UK,makeup,"British DTC makeup and skincare brand founded by Trinny Woodall, known for stackable packaging.",researched
beauty,Beauty & Wellness,Tweezerman-alternative: Beauty Works,beautyworksonline.com,UK,haircare/extensions,UK hair extensions and haircare brand.,researched
beauty,Beauty & Wellness,UpCircle Beauty,upcirclebeauty.com,UK,sustainable skincare,UK skincare brand making products from upcycled ingredients like coffee grounds.,researched
beauty,Beauty & Wellness,Votary,votary.co.uk,UK,natural skincare,British skincare brand focused on plant-oil based facial oils and cleansers.,researched
beauty,Beauty & Wellness,Wild,wearewild.com,UK,refillable personal care,UK refillable natural deodorant and personal care brand.,researched
home,Home & Garden,Aer,aersf.com,,,,verified
home,Home & Garden,Big Agnes,bigagnes.com,,,,verified
home,Home & Garden,Boll & Branch,bollandbranch.com,,,,verified
home,Home & Garden,Breeo,breeo.co,,,,verified
home,Home & Garden,Brooklinen,brooklinen.com,,,,verified
home,Home & Garden,Casper,casper.com,,,,verified
home,Home & Garden,Chrome Industries,chromeindustries.com,,,,verified
home,Home & Garden,Corkcicle,corkcicle.com,,,,verified
home,Home & Garden,Fast Growing Trees,fastgrowingtrees.com,,,,verified
home,Home & Garden,Floyd,floydhome.com,,,,verified
home,Home & Garden,Gozney,gozney.com,,,,verified
home,Home & Garden,Incase,incase.com,,,,verified
home,Home & Garden,Maiden Home,maidenhome.com,,,,verified
home,Home & Garden,Minaal,minaal.com,,,,verified
home,Home & Garden,Nomatic,nomatic.com,,,,verified
home,Home & Garden,Ooni,ooni.com,,,,verified
home,Home & Garden,Outer,liveouter.com,,,,verified
home,Home & Garden,Parachute Home,parachutehome.com,,,,verified
home,Home & Garden,Peak Design,peakdesign.com,,,,verified
home,Home & Garden,Rumpl,rumpl.com,,,,verified
home,Home & Garden,S'well,swell.com,,,,verified
home,Home & Garden,Sandmarc,sandmarc.com,,,,verified
home,Home & Garden,Sea to Summit,seatosummit.com,,,,verified
home,Home & Garden,Snow Peak,snowpeak.com,,,,verified
home,Home & Garden,Society6,society6.com,,,,verified
home,Home & Garden,Stanley 1913,stanley1913.com,,,,verified
home,Home & Garden,Timbuk2,timbuk2.com,,,,verified
home,Home & Garden,Tortuga,tortugabackpacks.com,,,,verified
home,Home & Garden,Waterfield Designs,sfbags.com,,,,verified
home,Home & Garden,Acupanel,theacousticcompany.co.uk,UK,decor,British brand making decorative acoustic wood wall and ceiling panels.,researched
home,Home & Garden,Aery Living,aeryliving.com,UK,home fragrance,"UK aromatherapy candles, diffusers and bath brand.",researched
home,Home & Garden,Bert & May,bertandmay.com,UK,decor,UK encaustic tiles and interiors brand.,researched
home,Home & Garden,Case Furniture,casefurniture.com,UK,furniture,British contemporary designer furniture manufacturer.,researched
home,Home & Garden,Cox & Cox,coxandcox.co.uk,UK,decor,UK homeware and interiors retailer.,researched
home,Home & Garden,Danetti,danetti.com,UK,furniture,UK contemporary furniture brand based in Berkshire.,researched
home,Home & Garden,Darcey's Candles,darceyscandles.co.uk,UK,home fragrance,Scottish luxury handcrafted soy wax candles and wax melts.,researched
home,Home & Garden,Emma Bridgewater,emmabridgewater.co.uk,UK,tableware,Quintessentially British pottery and tableware brand from Stoke-on-Trent.,researched
home,Home & Garden,Ettinger,ettinger.co.uk,UK,homeware,British luxury leather goods and home accessories brand.,researched
home,Home & Garden,eve Sleep,evesleep.co.uk,UK,bedding,UK mattress and bedding DTC brand.,researched
home,Home & Garden,Gold Moss,goldmoss.co.uk,UK,home fragrance,Scottish hand-poured soy candle and reed diffuser brand.,researched
home,Home & Garden,Grove Bags,grove.co.uk,UK,garden,UK garden tools and accessories.,researched
home,Home & Garden,Houseof,houseof.com,UK,lighting,UK contemporary lighting and homeware brand.,researched
home,Home & Garden,Houseplant,houseplant.co.uk,UK,plants,UK online houseplant retailer.,researched
home,Home & Garden,Labour and Wait,labourandwait.co.uk,UK,homeware,London traditional timeless homeware and hardware shop.,researched
home,Home & Garden,LINLEY,davidlinley.com,UK,furniture,British luxury bespoke furniture and interior design brand.,researched
home,Home & Garden,Niwaki,niwaki.com,UK,garden,UK Japanese garden tools and kitchenware brand.,researched
home,Home & Garden,Patch Plants,patchplants.com,UK,plants,UK online indoor plant delivery brand.,researched
home,Home & Garden,Piglet in Bed,pigletinbed.com,UK,bedding,UK linen bedding and loungewear brand.,researched
home,Home & Garden,Robert Welch,robertwelch.com,UK,kitchenware,British family-run brand for designer cutlery and kitchen tools.,researched
home,Home & Garden,Rockett St George,rockettstgeorge.co.uk,UK,decor,UK eclectic homeware and interiors retailer.,researched
home,Home & Garden,Simba Sleep,simbasleep.com,UK,bedding,British hybrid mattress and bedding DTC brand founded in 2015.,researched
home,Home & Garden,Soho Home,sohohome.com,UK,homeware,Soho House-owned UK homeware and furniture brand.,researched
home,Home & Garden,Sophie Allport,sophieallport.com,UK,homeware,"UK homeware brand known for illustrated fine-bone china, textiles and kitchenware.",researched
home,Home & Garden,Swoon Editions,swooneditions.com,UK,furniture,UK design-led furniture DTC brand.,researched
home,Home & Garden,Tala,tala.co.uk,UK,lighting,UK sustainable LED lighting brand.,researched
home,Home & Garden,TOAST,toa.st,UK,homeware,"UK lifestyle brand selling clothing, homeware and handmade tableware.",researched
home,Home & Garden,Whitehall Garden Centres,whitehallgardencentre.co.uk,UK,garden,"Family-run UK garden centre selling plants, furniture and decor.",researched
food,Food & Beverage,Beekeeper's Naturals,beekeepersnaturals.com,,,,verified
food,Food & Beverage,ButcherBox,butcherbox.com,,,,verified
food,Food & Beverage,Chemex,chemexcoffeemaker.com,,,,verified
food,Food & Beverage,Chomps,chomps.com,,,,verified
food,Food & Beverage,Counter Culture,counterculturecoffee.com,,,,verified
food,Food & Beverage,Daily Harvest,daily-harvest.com,,,,verified
food,Food & Beverage,Death Wish Coffee,deathwishcoffee.com,,,,verified
food,Food & Beverage,Fellow,fellowproducts.com,,,,verified
food,Food & Beverage,Fly by Jing,flybyjing.com,,,,verified
food,Food & Beverage,Four Sigmatic,foursigmatic.com,,,,verified
food,Food & Beverage,Ghia,drinkghia.com,,,,verified
food,Food & Beverage,Great Jones,greatjonesgoods.com,,,,verified
food,Food & Beverage,Heatonist,heatonist.com,,,,verified
food,Food & Beverage,HexClad,hexclad.com,,,,verified
food,Food & Beverage,Laird Superfood,lairdsuperfood.com,,,,verified
food,Food & Beverage,Liquid Death,liquiddeath.com,,,,verified
food,Food & Beverage,Magic Spoon,magicspoon.com,,,,verified
food,Food & Beverage,Material Kitchen,materialkitchen.com,,,,verified
food,Food & Beverage,Milk Bar,milkbarstore.com,,,,verified
food,Food & Beverage,Misen,misen.com,,,,verified
food,Food & Beverage,MUDWTR,mudwtr.com,,,,verified
food,Food & Beverage,Olipop,drinkolipop.com,,,,verified
food,Food & Beverage,Partake Foods,partakefoods.com,,,,verified
food,Food & Beverage,Poppi,drinkpoppi.com,,,,verified
food,Food & Beverage,Red Bull Shop,redbullshopus.com,,,,verified
food,Food & Beverage,Snake River Farms,snakeriverfarms.com,,,,verified
food,Food & Beverage,Soylent,soylent.com,,,,verified
food,Food & Beverage,Splendid Spoon,splendidspoon.com,,,,verified
food,Food & Beverage,Stumptown Coffee,stumptowncoffee.com,,,,verified
food,Food & Beverage,Verve Coffee,vervecoffee.com,,,,verified
food,Food & Beverage,allplants,allplants.com,UK,meal kits,UK plant-based frozen ready-meal subscription service.,researched
food,Food & Beverage,Beavertown Brewery,beavertownbrewery.co.uk,UK,beverages,"London craft brewery selling beers, seltzers and merch direct to consumer.",researched
food,Food & Beverage,Bird & Blend Tea Co.,birdandblendtea.com,UK,tea,UK blended loose leaf tea company with creative flavour blends.,researched
food,Food & Beverage,Blank Street Coffee,blankstreet.co.uk,UK,coffee,UK coffee shop chain selling beans and merch online.,researched
food,Food & Beverage,Bluebird Tea Co,bluebirdteaco.com,UK,tea,UK loose leaf tea brand (part of Bird & Blend group).,researched
food,Food & Beverage,Candy Kittens,candykittens.co.uk,UK,snacks,UK gourmet vegan gummy sweets brand.,researched
food,Food & Beverage,ChicP,chicp.co.uk,UK,snacks,UK sustainable hummus and dips brand.,researched
food,Food & Beverage,DASH Water,dash-water.com,UK,beverages,UK sparkling water infused with wonky fruit.,researched
food,Food & Beverage,Days Brewing,daysbrewing.com,UK,beverages,UK alcohol-free craft beer brand.,researched
food,Food & Beverage,Doisy & Dam,doisyanddam.com,UK,snacks,UK ethical chocolate brand with superfood-infused bars.,researched
food,Food & Beverage,Exhale Coffee,exhalecoffee.com,UK,coffee,UK high-antioxidant functional coffee brand.,researched
food,Food & Beverage,Grind,grind.co.uk,UK,coffee,"London-born coffee brand selling compostable coffee pods, beans and subscriptions.",researched
food,Food & Beverage,IMPOSSIBREW,impossibrew.co.uk,UK,beverages,UK functional alcohol-free beer with a proprietary social blend.,researched
food,Food & Beverage,JING Tea,jingtea.com,UK,tea,UK premium single-origin loose leaf tea and teaware.,researched
food,Food & Beverage,Mallow & Marsh,mallowandmarsh.com,UK,snacks,UK marshmallow snacks and treats brand.,researched
food,Food & Beverage,Minor Figures,minorfigures.com,UK,beverages,UK oat milk and cold-brew coffee brand.,researched
food,Food & Beverage,Nutribuddy,nutribuddy.com,UK,snacks,UK meal shake and healthy breakfast brand.,researched
food,Food & Beverage,Pact Coffee,pactcoffee.com,UK,coffee,UK direct-trade specialty coffee subscription.,researched
food,Food & Beverage,Pasta Evangelists,pastaevangelists.com,UK,meal kits,UK luxury fresh pasta meal-kit delivery service.,researched
food,Food & Beverage,Pentire Drinks,pentiredrinks.com,UK,beverages,Cornish non-alcoholic botanical aperitif distilled from coastal plants.,researched
food,Food & Beverage,Pinter,pinter.com,UK,beverages,UK make-your-own craft beer appliance and ingredient kits.,researched
food,Food & Beverage,Pip & Nut,pipandnut.com,UK,snacks,"UK nut butter brand selling almond, peanut and cashew butters plus snack packs.",researched
food,Food & Beverage,Press London,press-london.com,UK,beverages,Cold-pressed juice and cleanse programme brand based in London.,researched
food,Food & Beverage,Rave Coffee,ravecoffee.co.uk,UK,coffee,Cotswolds-based specialty coffee roaster with subscription.,researched
food,Food & Beverage,Seedlip,seedlipdrinks.com,UK,beverages,British non-alcoholic distilled spirit brand.,researched
food,Food & Beverage,Sipful,sipful.co.uk,UK,beverages,UK functional wellness drinks brand.,researched
food,Food & Beverage,Square Mile Coffee Roasters,shop.squaremilecoffee.com,UK,coffee,London specialty coffee roaster founded by James Hoffmann.,researched
food,Food & Beverage,Three Spirit,threespiritdrinks.com,UK,beverages,UK non-alcoholic functional drinks with adaptogens and nootropics.,researched
food,Food & Beverage,TRIP Drinks,drinktrip.com,UK,beverages,UK CBD sparkling drinks and functional beverages.,researched
electronics,Electronics & Tech,Arduino,store.arduino.cc,,,,verified
electronics,Electronics & Tech,Boox,shop.boox.com,,,,verified
electronics,Electronics & Tech,Elegoo,elegoo.com,,,,verified
electronics,Electronics & Tech,Glorious Gaming,gloriousgaming.com,,,,verified
electronics,Electronics & Tech,Jackery,jackery.com,,,,verified
electronics,Electronics & Tech,Keychron,keychron.com,,,,verified
electronics,Electronics & Tech,Loop Earplugs,loopearplugs.com,,,,verified
electronics,Electronics & Tech,Master & Dynamic,masterdynamic.com,,,,verified
electronics,Electronics & Tech,Native Union,nativeunion.com,,,,verified
electronics,Electronics & Tech,NZXT,nzxt.com,,,,verified
electronics,Electronics & Tech,Paperlike,paperlike.com,,,,verified
electronics,Electronics & Tech,Pela Case,pelacase.com,,,,verified
electronics,Electronics & Tech,Ridge Wallet,ridgewallet.com,,,,verified
electronics,Electronics & Tech,Secretlab,secretlab.co,,,,verified
electronics,Electronics & Tech,Shokz,shokz.com,,,,verified
electronics,Electronics & Tech,Supernote,supernote.com,,,,verified
electronics,Electronics & Tech,Twelve South,twelvesouth.com,,,,verified
electronics,Electronics & Tech,Bookman,bookman.se,EU,urban cycling lights,Swedish minimalist cycling lights and visibility accessories sold into UK.,researched
electronics,Electronics & Tech,Cabbage Tech / Buddyphones,onanoff.com,UK,kids headphones,European/UK distributed kids' volume-limited headphones (UK-facing storefront).,researched
electronics,Electronics & Tech,Cambridge Audio,cambridgeaudio.com,UK,hi-fi electronics,London-based hi-fi electronics and speaker manufacturer.,researched
electronics,Electronics & Tech,Firebox,firebox.com,UK,gadgets / gifts,UK gadget and gift retailer.,researched
electronics,Electronics & Tech,Flare Audio,flareaudio.com,UK,earphones / hearing protection,UK in-ear monitor and acoustic ear plug brand.,researched
electronics,Electronics & Tech,Grovemade EU/UK,grovemade.com,US,desk accessories,Premium wood desk accessories (US brand with UK shipping).,researched
electronics,Electronics & Tech,Hiive,hiive.co.uk,UK,smart home,UK smart home heating and energy management brand.,researched
electronics,Electronics & Tech,I Am Plus / Buddha Board style - Kano,kano.me,UK,edtech / computer kits,London-based DIY computer and coding kit maker for kids.,researched
electronics,Electronics & Tech,I Want One Of Those,iwantoneofthose.com,UK,gadgets,UK heritage gadget retailer.,researched
electronics,Electronics & Tech,Juice,juice.co.uk,UK,charging / power banks,"UK charging accessories brand selling cables, chargers and power banks.",researched
electronics,Electronics & Tech,LIFX UK,lifx.co.uk,UK,smart lighting,UK storefront for smart lighting brand.,researched
electronics,Electronics & Tech,Lumie,lumie.com,UK,wake-up / SAD lamps,"UK inventor of the wake-up light and bodyclock, selling SAD and wellbeing lamps.",researched
electronics,Electronics & Tech,Menkind,menkind.co.uk,UK,gadgets,UK novelty gadget and gift retailer.,researched
electronics,Electronics & Tech,Minirig,minirigs.co.uk,UK,portable speakers,Bristol-based handmade portable Bluetooth speaker brand.,researched
electronics,Electronics & Tech,Mooltipass / GetDigital - Cuckooland,cuckooland.com,UK,smart home / gadgets,UK design-led gadget and smart home retailer.,researched
electronics,Electronics & Tech,Mous,mous.co,UK,phone cases / accessories,London-based premium protective phone case and wireless charging accessory brand.,researched
electronics,Electronics & Tech,Oakywood UK,oakywood.shop,EU,desk accessories,Wooden desk and tech accessories brand serving UK/EU customers.,researched
electronics,Electronics & Tech,Orbitsound,orbitsound.com,UK,soundbars / audio,UK audio brand known for soundbars and airSOUND home audio systems.,researched
electronics,Electronics & Tech,Pimoroni,pimoroni.com,UK,maker / electronics,Sheffield-based Raspberry Pi and maker electronics retailer.,researched
electronics,Electronics & Tech,Proporta,proporta.co.uk,UK,mobile accessories,"Long-running UK mobile accessories brand, licensed partner of Ted Baker.",researched
electronics,Electronics & Tech,RHA Audio,rha-audio.com,UK,headphones,Glasgow-based premium earphone and wireless headphone brand.,researched
electronics,Electronics & Tech,Ruark Audio,ruarkaudio.com,UK,hi-fi audio,Essex-based premium radio and hi-fi brand.,researched
electronics,Electronics & Tech,Tech21,tech21.com,UK,phone cases / screen protection,UK protective tech accessories brand known for FlexShock case technology.,researched
electronics,Electronics & Tech,The Book of Everyone / Prezzybox,prezzybox.com,UK,gadgets / gifts,UK gadget and gifting retailer.,researched
electronics,Electronics & Tech,The Pi Hut,thepihut.com,UK,maker / electronics,UK Raspberry Pi and electronics components retailer.,researched
electronics,Electronics & Tech,TORRO,torro.co.uk,UK,leather tech accessories,"Newcastle-based premium leather phone cases, wallets and tech accessories.",researched
electronics,Electronics & Tech,Urbanista,urbanista.com,EU,headphones,Stockholm-based lifestyle audio brand selling to UK consumers.,researched
electronics,Electronics & Tech,Vanguard UK,vanguardworld.co.uk,UK,camera / optics accessories,"UK storefront for camera bags, tripods and optics.",researched
electronics,Electronics & Tech,Veho,veho-world.com,UK,audio / tech accessories,"UK lifestyle audio and tech accessories brand (earbuds, speakers, turntables).",researched
sports,Sports & Outdoors,Black Diamond,blackdiamondequipment.com,,,,verified
sports,Sports & Outdoors,Cotopaxi,cotopaxi.com,,,,verified
sports,Sports & Outdoors,ENO,eaglesnestoutfittersinc.com,,,,verified
sports,Sports & Outdoors,Filson,filson.com,,,,verified
sports,Sports & Outdoors,GSI Outdoors,gsioutdoors.com,,,,verified
sports,Sports & Outdoors,Gymshark,gymshark.com,,,,verified
sports,Sports & Outdoors,Kammok,kammok.com,,,,verified
sports,Sports & Outdoors,Kifaru,kifaru.net,,,,verified
